Airport.Code,Airport.Name,Time.Label,Time.Month,Time.Month Name,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Security,Statistics.# of Delays.Weather,Statistics.Carriers.Names,Statistics.Carriers.Total,Statistics.Flights.Cancelled,Statistics.Flights.Delayed,Statistics.Flights.Diverted,Statistics.Flights.On Time,Statistics.Flights.Total,Statistics.Minutes Delayed.Carrier,Statistics.Minutes Delayed.Late Aircraft,Statistics.Minutes Delayed.National Aviation System,Statistics.Minutes Delayed.Security,Statistics.Minutes Delayed.Total,Statistics.Minutes Delayed.Weather
JFK,"New York, NY: John F. Kennedy International",2004/01,1,January,2004,430,501,600,10,60,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.",12,128,1602,20,5076,6826,23856,27078,20789,429,76037,3885
JFK,"New York, NY: John F. Kennedy International",2004/02,2,Febuary,2004,300,288,465,9,43,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.",12,45,1105,3,5416,6569,14207,14576,14274,347,45969,2565
JFK,"New York, NY: John F. Kennedy International",2004/03,3,March,2004,335,350,828,16,23,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.",12,69,1552,19,5415,7055,18296,16691,25416,407,62201,1391
JFK,"New York, NY: John F. Kennedy International",2004/04,4,April,2004,357,297,819,16,28,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.",12,29,1513,19,5683,7244,19527,15530,28778,548,66140,1757
JFK,"New York, NY: John F. Kennedy International",2004/05,5,May,2004,328,358,845,14,56,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.",12,41,1604,30,5603,7278,19826,20584,32565,551,78588,5062
JFK,"New York, NY: John F. Kennedy International",2004/06,6,June,2004,417,472,709,11,90,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.",12,61,1697,19,5787,7564,23277,27111,30133,445,87457,6491
JFK,"New York, NY: John F. Kennedy International",2004/07,7,July,2004,548,598,1144,17,163,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.",12,90,2469,23,5726,8308,30416,39466,55678,574,139007,12873
JFK,"New York, NY: John F. Kennedy International",2004/08,8,August,2004,531,717,973,18,133,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.",12,145,2371,44,6106,8666,31378,51417,49175,665,142589,9954
JFK,"New York, NY: John F. Kennedy International",2004/09,9,September,2004,401,272,586,19,87,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.",12,304,1364,10,6170,7848,20639,15500,19345,1328,62890,6078
JFK,"New York, NY: John F. Kennedy International",2004/10,10,October,2004,398,246,605,12,81,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.",12,56,1343,4,6731,8134,21367,11402,19080,328,56695,4518
